Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.48     0.00       24     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      2.48     0.00       24     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      2.48     0.00       22     0.00     0.00  HashMap<int>::Entry::Entry()
  0.00      2.48     0.00       22     0.00     0.00  void std::_Construct<HashMap<int>::Entry>(HashMap<int>::Entry*)
  0.00      2.48     0.00       22     0.00     0.00  HashMap<int>::Entry* std::__addressof<HashMap<int>::Entry>(HashMap<int>::Entry&)
  0.00      2.48     0.00       19     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      2.48     0.00       19     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.48     0.00       19     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      2.48     0.00       19     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      2.48     0.00       17     0.00     0.00  __gnu_cxx::__normal_iterator<HashMap<int>::Entry*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >::operator++()
  0.00      2.48     0.00       17     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.48     0.00       15     0.00     0.00  HashMap<int>::table_full()
  0.00      2.48     0.00       15     0.00     0.00  HashMap<int>::insert(int const&)
  0.00      2.48     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      2.48     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      2.48     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      2.48     0.00       15     0.00     0.00  HashMap<int>::hash(int const&) const
  0.00      2.48     0.00       15     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      2.48     0.00       15     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      2.48     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      2.48     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      2.48     0.00       15     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::end()
  0.00      2.48     0.00       15     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::begin()
  0.00      2.48     0.00       15     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      2.48     0.00       14     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      2.48     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      2.48     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00      2.48     0.00       14     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      2.48     0.00       14     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      2.48     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00      2.48     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      2.48     0.00       14     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      2.48     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      2.48     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      2.48     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      2.48     0.00       12     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::~_Vector_impl()
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_create_storage(unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_base(unsigned long, std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00      2.48     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::allocate(std::allocator<unsigned long>&, unsigned long)
  0.00      2.48     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::max_size(std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  unsigned long* std::__uninitialized_fill_n<true>::__uninit_fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      2.48     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_max_size(std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_initialize(unsigned long, unsigned long const&)
  0.00      2.48     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector(unsigned long, unsigned long const&, std::allocator<unsigned long> const&)
  0.00      2.48     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.00      2.48     0.00       12     0.00     0.00  unsigned long* std::__fill_n_a<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&, std::random_access_iterator_tag)
